time,pyfile,data_shape,random_state,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,last_val_loss,best_val_loss,best_val_epoch,last_accuracy,best_val_accuracy,best_val_acc_epoch,test_loss,test_accuracy,rmse,r2
2026-09-11 15:33:23,keras28_Scaler10_digits.py,"(1437, 64)",78,sequential,Dense 400 -> 250 -> 100 -> 50 -> 40 -> 20 -> 10,categorical_crossentropy,adam,515,17,80.4289,1.2756913900375366,1.5581104406692248e-08,0.31452760100364685,0.07462681084871292,15,1.0,0.9861111044883728,7,"[0.1305820643901825, 0.9666666388511658]",,,
2026-09-11 16:22:36,keras28_Scaler09_fetch_covtype.py,"(464809, 54)",78,sequential,Dense 600 -> 500 -> 400 -> 300 -> 200 -> 100 -> 7,categorical_crossentropy,adam,950,80000,2933.0452,1.6735262870788574,0.2645377814769745,0.221792072057724,0.15372967720031738,750,0.8926332592964172,0.9429551959037781,749,"[0.15388223528862, 0.9432200789451599]",,,
2026-09-11 16:25:04,keras28_Scaler01_california.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,100,40,50.3252,0.7646366953849792,0.22794798016548157,0.28705570101737976,0.27937519550323486,49,,,,,,,
2026-09-11 16:44:12,keras28_Scaler02_diabetes.py,"(353, 10)",78,sequential,Dense 120 -> 30 -> 48 -> 23 -> 1,mse,adam,249,30,15.5135,27833.80078125,2887.704833984375,2935.92041015625,2768.682373046875,149,,,,,,,
2026-09-11 16:44:43,keras28_Scaler03_boston.py,"(404, 13)",78,sequential,Dense 10 -> 30 -> 62 -> 48 -> 23 -> 1,mse,adam,37,30,3.155,515.5197143554688,22.214086532592773,27.306718826293945,24.88844108581543,27,,,,,,,
2026-09-11 16:45:18,keras28_Scaler04_dacon_ddarung.py,"(1062, 9)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,mse,adam,146,30,14.441,16590.544921875,3073.238037109375,2490.28076171875,2090.86083984375,46,,,,,,,
2026-09-11 16:46:20,keras28_Scaler05_kaggle_bike.py,"(8708, 8)",78,sequential,Dense 512 -> 256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,mse,adam,146,55,41.7227,34734.34375,16555.220703125,21656.943359375,20906.7890625,96,,,,,,,
2026-09-11 16:46:35,keras28_Scaler06_cancer.py,"(455, 30)",78,sequential,Dense 60 -> 50 -> 40 -> 30 -> 20 -> 10 -> 1,binary_crossentropy,adam,32,55,3.0334,0.593797504901886,0.0021971093956381083,0.3409969210624695,0.05579596757888794,12,1.0,0.9710144996643066,5,0.07196343690156937,0.9912280440330505,,
2026-09-11 16:47:17,keras28_Scaler08_wine.py,"(142, 13)",78,sequential,Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,categorical_crossentropy,adam,205,6,16.3893,0.9014715552330017,3.2045363695942797e-06,0.061362218111753464,0.015430481173098087,5,1.0,1.0,1,0.11186962574720383,0.9722222089767456,,
2026-09-11 16:48:36,keras28_Scaler08_wine.py,"(142, 13)",78,sequential,Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,categorical_crossentropy,adam,921,6,69.0777,1.0587605237960815,2.385787411185447e-06,1.8911860024672933e-05,7.629377023476991e-07,721,1.0,1.0,3,0.1307295560836792,0.9722222089767456,,
2026-09-11 16:50:46,keras28_Scaler10_digits.py,"(1437, 64)",78,sequential,Dense 400 -> 250 -> 100 -> 50 -> 40 -> 20 -> 10,categorical_crossentropy,adam,506,17,78.1279,1.2481666803359985,2.673680654652344e-08,0.5602460503578186,0.19722945988178253,6,1.0,0.9722222089767456,272,"[0.12144020199775696, 0.9722222089767456]",,,
2026-09-11 17:02:13,keras28_Scaler09_fetch_covtype.py,"(464809, 54)",78,sequential,Dense 500 -> 400 -> 300 -> 200 -> 100 -> 50 -> 7,categorical_crossentropy,adam,329,80000,650.8628,0.7729617953300476,0.0340413898229599,0.1625649631023407,0.1252860426902771,129,0.9865589737892151,0.9615649580955505,319,"[0.12627360224723816, 0.95650714635849]",,,
2026-09-11 17:33:14,keras29_2_load_model.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,100,40,50.1553,0.6389006972312927,0.2416726052761078,0.3013613820075989,0.27712690830230713,79,,,,,,,
2026-09-11 17:39:42,keras29_3_save_model2.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,100,40,51.4405,0.8953499794006348,0.23941010236740112,0.2924270033836365,0.27634021639823914,50,,,,,,,
2026-09-14 10:21:18,keras29_5_save_weights.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,10,40,5.856,0.6989349126815796,0.3209061324596405,0.31288832426071167,0.31288832426071167,10,,,,,,,
2026-09-14 10:32:27,keras29_6_load_weights.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,50,40,25.6014,0.32807478308677673,0.24761083722114563,0.28621500730514526,0.27679526805877686,38,,,,,,,
2026-09-14 11:12:57,keras30_ModelCheckPoint1.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,80,40,33.5869,0.734145998954773,0.23434649407863617,0.29326900839805603,0.2767743170261383,60,,,,,,,
2026-09-14 11:18:32,keras30_ModelCheckPoint1.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,141,40,58.7751,1.4844425916671753,0.2604374885559082,0.3016051948070526,0.28247329592704773,121,,,,,,,
2026-09-14 13:16:08,keras30_ModelCheckPoint3.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,50,40,20.8249,0.7698132395744324,0.2653738558292389,0.2923344373703003,0.2791807949542999,30,,,,,,,
2026-09-14 13:21:53,keras30_ModelCheckPoint3.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,60,40,26.0335,1.609804391860962,0.265872985124588,0.2857227921485901,0.2797895073890686,40,,,,,,,
2026-09-14 13:24:33,keras30_ModelCheckPoint3.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,82,40,33.8008,0.832655668258667,0.25728073716163635,0.28135648369789124,0.2801987826824188,62,,,,,,,
2026-09-14 13:54:29,keras31_MCP_load_02_diabetes.py,"(353, 10)",78,sequential,Dense 120 -> 30 -> 48 -> 23 -> 1,mse,adam,58,40,5.1809,27819.515625,2891.5009765625,2935.6708984375,2817.87255859375,38,,,,,,,
2026-09-14 13:55:16,keras32_MCP_load_03_boston.py,"(404, 13)",78,sequential,Dense 10 -> 30 -> 62 -> 48 -> 23 -> 1,mse,adam,63,40,5.5024,520.5546875,22.027000427246094,25.833415985107422,24.579484939575195,43,,,,,,,
2026-09-14 13:55:30,keras33_MCP_load_04_dacon_ddarung.py,"(1062, 9)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,mse,adam,27,40,3.1121,18536.369140625,3140.64013671875,2250.87646484375,2108.96923828125,7,,,,,,,
2026-09-14 14:00:17,keras37_MCP_load_08_wine.py,"(142, 13)",78,sequential,Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,mse,adam,500,40,43.2973,0.2176699936389923,1.3438301493806648e-06,0.00010714444943005219,0.00010714444943005219,500,,,,0.020095154643058777,,,
2026-09-14 14:08:27,keras38_MCP_load_09_fetch_covtype.py,"(464809, 54)",78,sequential,Dense 500 -> 400 -> 300 -> 200 -> 100 -> 50 -> 7,mse,adam,228,40,472.6774,0.07080066204071045,0.005608733743429184,0.010385091416537762,0.010252298787236214,208,,,,0.010171381756663322,,,
2026-09-14 14:10:53,keras39_MCP_load_10_digits.py,"(1437, 64)",78,sequential,Dense 400 -> 250 -> 100 -> 50 -> 40 -> 20 -> 10,mse,adam,45,40,5.152,0.07375281304121017,0.00016380948363803327,0.004432342480868101,0.0036192426923662424,25,,,,0.006352708209306002,,,
2026-09-14 14:15:35,keras35_MCP_save_06_cancer.py,"(455, 30)",78,sequential,Dense 60 -> 50 -> 40 -> 30 -> 20 -> 10 -> 1,mse,adam,32,40,3.5636,0.2899288237094879,0.0004087144916411489,0.05683199316263199,0.029540935531258583,12,,,,0.01120839174836874,,,
2026-09-14 15:38:23,keras33_dropout1_california.py,"(16512, 8)",78,sequential,Dense 256 -> Dropout ? -> Dense 128 -> Dropout ? -> Dense 64 -> 32 -> Dropout ? -> Dense 8 -> 4 -> 1,mse,adam,92,40,44.8165,4.110605716705322,0.345823734998703,0.3329905867576599,0.30560576915740967,72,,,,,,,
2026-09-14 15:47:50,keras33_dropout2_diabetes.py,"(353, 10)",78,sequential,Dense 120 -> Dropout ? -> Dense 30 -> 48 -> Dropout ? -> Dense 23 -> 1,mse,adam,103,40,7.0141,27814.21484375,3399.969482421875,3000.44873046875,2832.9931640625,83,,,,,,,
2026-09-14 15:52:13,keras33_dropout4_dacon_ddarung.py,"(1062, 9)",78,sequential,Dense 256 -> 128 -> Dropout ? -> Dense 64 -> 32 -> Dropout ? -> Dense 16 -> 8 -> 1,mse,adam,75,40,6.8063,18131.478515625,3251.193115234375,2276.29833984375,2109.19482421875,55,,,,,,,
2026-09-14 17:19:49,keras34_hamsu01_california.py,"(16512, 8)",78,functional,InputLayer ? -> Dense 256 -> Dropout ? -> Dense 128 -> Dropout ? -> Dense 64 -> 32 -> Dropout ? -> Dense 8 -> 4 -> 1,mse,adam,110,40,54.9439,1.3052983283996582,0.3328697979450226,0.3394020199775696,0.30946552753448486,90,,,,,,,
2026-09-14 17:21:03,keras34_hamsu02_diabetes.py,"(353, 10)",78,functional,InputLayer ? -> Dense 120 -> Dropout ? -> Dense 30 -> 48 -> Dropout ? -> Dense 23 -> 1,mse,adam,92,40,6.842,27971.93359375,3468.97021484375,2889.8994140625,2863.209228515625,72,,,,,,,
2026-09-14 17:22:39,keras34_hamsu03_boston.py,"(404, 13)",78,functional,InputLayer ? -> Dense 10 -> Dropout ? -> Dense 30 -> 62 -> 48 -> Dropout ? -> Dense 23 -> Dropout ? -> Dense 1,mse,adam,173,40,12.6439,563.7973022460938,48.66452407836914,30.80592155456543,28.226411819458008,153,,,,,,,
2026-09-14 17:23:38,keras34_hamsu04_dacon_ddarung.py,"(1062, 9)",78,functional,InputLayer ? -> Dense 256 -> 128 -> Dropout ? -> Dense 64 -> 32 -> Dropout ? -> Dense 16 -> 8 -> 1,mse,adam,32,40,3.5807,18599.33984375,3267.68310546875,2357.543701171875,2101.01025390625,12,,,,,,,
2026-09-14 17:26:40,keras34_hamsu06_cancer.py,"(455, 30)",78,functional,InputLayer ? -> Dense 60 -> Dropout ? -> Dense 50 -> 40 -> 30 -> Dropout ? -> Dense 20 -> 10 -> Dropout ? -> Dense 1,mse,adam,41,40,3.9672,0.23085737228393555,0.007357255555689335,0.020764008164405823,0.0033313268795609474,21,,,,0.009028378874063492,,,
2026-09-14 17:29:35,keras34_hamsu07_santander.py,"(160000, 200)",78,functional,InputLayer ? -> Dense 800 -> Dropout ? -> Dense 600 -> 400 -> Dropout ? -> Dense 200 -> 100 -> Dropout ? -> Dense 50 -> 1,mse,adam,25,40,40.3804,0.10467245429754257,0.03836284577846527,0.08669032901525497,0.06930563598871231,5,,,,0.06945519894361496,,,
2026-09-14 17:30:24,keras34_hamsu08_wine.py,"(142, 13)",78,functional,InputLayer ? -> Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,mse,adam,52,40,4.1855,0.2186233401298523,0.00017280556494370103,0.01666291430592537,0.013127380050718784,32,,,,0.020371221005916595,,,
2026-09-14 17:31:32,keras34_hamsu10_digits.py,"(1437, 64)",78,functional,InputLayer ? -> Dense 400 -> 250 -> Dropout ? -> Dense 100 -> 50 -> Dropout ? -> Dense 40 -> 20 -> Dropout ? -> Dense 10,mse,adam,54,40,5.8792,0.08116428554058075,0.0014550489140674472,0.005723308771848679,0.0032590804621577263,34,,,,0.005220329854637384,,,
2026-09-14 17:33:31,keras34_hamsu10_digits.py,"(1437, 64)",78,functional,InputLayer ? -> Dense 400 -> 250 -> Dropout ? -> Dense 100 -> 50 -> Dropout ? -> Dense 40 -> 20 -> Dropout ? -> Dense 10,mse,adam,34,40,5.0312,0.08077381551265717,0.0014379499480128288,0.004663870669901371,0.00413674209266901,14,,,,0.006388607434928417,,,
